298: my_win=228, ran2_win=7, equ=63
299: my_win=228, ran2_win=7, equ=64
300: my_win=229, ran2_win=7, equ=64
301: my_win=230, ran2_win=7, equ=64
302: my_win=231, ran2_win=7, equ=64
303: my_win=232, ran2_win=7, equ=64
304: my_win=232, ran2_win=8, equ=64
305: my_win=233, ran2_win=8, equ=64
306: my_win=234, ran2_win=8, equ=64
307: my_win=235, ran2_win=8, equ=64
308: my_win=235, ran2_win=8, equ=65
309: my_win=236, ran2_win=8, equ=65
310: my_win=237, ran2_win=8, equ=65
311: my_win=238, ran2_win=8, equ=65
312: my_win=238, ran2_win=8, equ=66
313: my_win=238, ran2_win=8, equ=67
314: my_win=239, ran2_win=8, equ=67
315: my_win=239, ran2_win=8, equ=68
316: my_win=239, ran2_win=8, equ=69
317: my_win=240, ran2_win=8, equ=69
318: my_win=240, ran2_win=8, equ=70
319: my_win=241, ran2_win=8, equ=70
320: my_win=242, ran2_win=8, equ=70
321: my_win=243, ran2_win=8, equ=70
322: my_win=243, ran2_win=8, equ=71
323: my_win=243, ran2_win=8, equ=72
324: my_win=244, ran2_win=8, equ=72
325: my_win=245, ran2_win=8, equ=72
326: my_win=246, ran2_win=8, equ=72
326: my_win=246, ran2_win=8, equ=72
