ph5_time=9.000989437103271, ph6_time=6.823000431060791
ph5_time=9.019999980926514, ph6_time=6.838010311126709
ph5_time=8.978980302810669, ph6_time=6.7920002937316895
ph5_time=8.989989757537842, ph6_time=6.802020072937012
ph5_time=8.983000040054321, ph6_time=6.811009883880615
ph5_time=9.003009557723999, ph6_time=6.861990213394165
ph5_time=8.971018552780151, ph6_time=6.79798150062561
ph5_time=9.057010412216187, ph6_time=6.807989597320557
ph5_time=9.080000162124634, ph6_time=6.8329997062683105
ph5_time=8.977007150650024, ph6_time=6.781979560852051
ph5_time=8.977999210357666, ph6_time=6.9559948444366455
ph5_time=9.029009580612183, ph6_time=6.865999937057495
ph5_time=9.002000331878662, ph6_time=6.7770094871521
ph5_time=9.045985460281372, ph6_time=6.753999948501587
ph5_time=9.106014490127563, ph6_time=6.7920002937316895
ph5_time=9.014003276824951, ph6_time=6.825999975204468
ph5_time=9.019996643066406, ph6_time=6.773999929428101
ph5_time=9.022000074386597, ph6_time=6.762000322341919
ph5_time=8.966000080108643, ph6_time=6.812999963760376
ph5_time=8.995999574661255, ph6_time=6.776000022888184
ph5_time=9.01502013206482, ph6_time=6.835989952087402
ph5_time=8.937999963760376, ph6_time=6.776990175247192
ph5_time=8.958000183105469, ph6_time=6.853999853134155
ph5_time=9.019980669021606, ph6_time=6.761999845504761
ph5_time=9.002012729644775, ph6_time=6.805007457733154
ph5_time=9.029999732971191, ph6_time=6.8369996547698975
ph5_time=8.93701958656311, ph6_time=6.821980237960815
ph5_time=8.971999645233154, ph6_time=6.764000415802002
ph5_time=8.918999910354614, ph6_time=6.795000076293945
ph5_time=9.03201937675476, ph6_time=6.78998064994812
ph5_time=9.001999378204346, ph6_time=6.804001092910767
ph5_time=9.005000114440918, ph6_time=6.7679994106292725
ph5_time=8.965010166168213, ph6_time=6.851989507675171
ph5_time=8.89898943901062, ph6_time=6.7420008182525635
ph5_time=9.019999980926514, ph6_time=6.80901026725769
ph5_time=9.090981721878052, ph6_time=6.8359997272491455
ph5_time=9.036173105239868, ph6_time=6.761008024215698
ph5_time=8.965010166168213, ph6_time=6.802007436752319
ph5_time=9.003998756408691, ph6_time=6.800001382827759
ph5_time=9.01900029182434, ph6_time=6.830999851226807
ph5_time=9.03499984741211, ph6_time=6.868000030517578
ph5_time=8.917012691497803, ph6_time=6.802987098693848
ph5_time=9.069000244140625, ph6_time=6.747000217437744
ph5_time=9.007999897003174, ph6_time=6.853999853134155
ph5_time=8.865000009536743, ph6_time=6.771999835968018
ph5_time=9.044997453689575, ph6_time=6.724991798400879
ph5_time=9.020364046096802, ph6_time=6.82101035118103
ph5_time=9.071000099182129, ph6_time=6.764999866485596
ph5_time=8.9299898147583, ph6_time=6.892000198364258
ph5_time=9.023010492324829, ph6_time=6.776999473571777
ph5_time=8.973010063171387, ph6_time=6.735989809036255
ph5_time=9.03197169303894, ph6_time=6.818009376525879
ph5_time=9.020010471343994, ph6_time=6.795008659362793
ph5_time=8.973000049591064, ph6_time=6.7790000438690186
ph5_time=8.933979272842407, ph6_time=6.799000024795532
ph5_time=9.037997484207153, ph6_time=6.8190014362335205
ph5_time=9.00999927520752, ph6_time=6.760021686553955
ph5_time=9.018999814987183, ph6_time=6.824000597000122
ph5_time=8.997003555297852, ph6_time=6.798989534378052
ph5_time=9.06198000907898, ph6_time=6.86700701713562
ph5_time=9.01701045036316, ph6_time=6.782019853591919
ph5_time=8.976009607315063, ph6_time=6.804999828338623
ph5_time=8.973000049591064, ph6_time=6.788990259170532
ph5_time=9.045000076293945, ph6_time=6.802989482879639
ph5_time=8.991000175476074, ph6_time=6.813009977340698
ph5_time=9.028000116348267, ph6_time=6.772000074386597
ph5_time=8.989000082015991, ph6_time=6.904999732971191
ph5_time=9.011000156402588, ph6_time=6.835000038146973
ph5_time=9.064000129699707, ph6_time=6.769999980926514
ph5_time=9.05997085571289, ph6_time=6.815999984741211
ph5_time=8.983000040054321, ph6_time=6.829019784927368
ph5_time=8.939010858535767, ph6_time=6.811979532241821
ph5_time=8.948981523513794, ph6_time=6.816009521484375
ph5_time=8.999000310897827, ph6_time=6.7690184116363525
ph5_time=8.996000051498413, ph6_time=6.753999471664429
ph5_time=8.930000066757202, ph6_time=6.825000047683716
ph5_time=8.997999906539917, ph6_time=6.793999910354614
ph5_time=9.067992925643921, ph6_time=6.8429882526397705
ph5_time=9.07498025894165, ph6_time=6.763028621673584
ph5_time=8.972000122070312, ph6_time=6.791009902954102
ph5_time=9.024999618530273, ph6_time=6.808000326156616
ph5_time=8.947981119155884, ph6_time=6.755000114440918
ph5_time=8.927000284194946, ph6_time=6.821018934249878
ph5_time=8.990999698638916, ph6_time=6.780989408493042
ph5_time=8.990000009536743, ph6_time=6.8140106201171875
ph5_time=8.913000106811523, ph6_time=6.821999788284302
ph5_time=8.930999994277954, ph6_time=6.881999969482422
ph5_time=8.926999568939209, ph6_time=6.764000177383423
ph5_time=8.953010559082031, ph6_time=6.8229899406433105
